QBH_n0_ADD

Mth	xsec*BR		Events			
500	9.2055e+05	20000
1000	42950		20000
1500	5371.5		20000
2000	998.19		20000
2500	228.24		20000
3000	58.832		20000
3500	16.305		20000
4000	4.6934		20000
4500	1.3892		20000
5000	0.40601		20000
5500	0.11714		20000
6000	0.032987	20000
6500	0.0088263	20000

QBH_n1_RS

Mth	xsec*BR		Events
500	14122		20000
1000	600.57		20000
1500	71.39		20000
2000	12.867		20000
2500	2.877		20000
3000	0.72736		20000
3500	0.19938		20000
4000	0.056508	20000
4500	0.01648		20000
5000	0.0048168	20000
5500	0.001378	20000
6000	0.00038541	20000
6500	0.00010303	20000

QBH_n4_ADD

Mth	xsec*BR		Events			
500	9.2015e+05	20000
1000	42980		20000
1500	5375.9		20000	
2000	999.72		20000		
2500	228.13		20000
3000	58.887		20000
3500	16.281		20000
4000	4.6969		20000
4500	1.3803		20000
5000	0.40608		20000
5500	0.11735		20000
6000	0.032945	20000
6500	0.0088222	20000


QBH_n5_ADD

Mth	xsec*BR		Events			
500	1.3096e+06	20000
1000	61546		20000
1500	7740		20000
2000	1443.4		20000
2500	331.05		20000
3000	85.385		20000
3500	23.692		20000
4000	6.8259		20000
4500	2.0107		20000	
5000	0.5913		20000
5500	0.17069		20000
6000	0.048471	20000
6500	0.013036	20000	

QBH_n6_ADD

Mth	xsec*BR		Events			
500	1.7301e+06	20000
1000	81980		20000	
1500	10331		20000
2000	1930.5		20000
2500	442.34		20000
3000	114.57		20000
3500	31.715		20000
4000	9.186		20000	
4500	2.7011		20000
5000	0.79798		20000
5500	0.23031		20000
6000	0.06457		20000
6500	0.017361	20000
